2025-08-25 09:44:22 | RSUFusion.Track | DEBUG    | sort_tracker.py:51 | Created track 1 for car at (717.5, 99.4)
2025-08-25 09:44:22 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:297 | Created new track 1 for car
2025-08-25 09:44:22 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 1 with car at (715.1, 99.5)
2025-08-25 09:44:22 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 1 with car at (712.1, 99.7)
2025-08-25 09:44:22 | RSUFusion.CameraProcess | DEBUG    | run_phase1.py:146 | Ambulance speed: 0.0 km/h
2025-08-25 09:44:22 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.6 FPS
2025-08-25 09:44:23 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 54.8 FPS
2025-08-25 09:44:23 | RSUFusion.KalmanFilter4D | DEBUG    | kalman_filter.py:88 | Kalman filter initialized at (644.5, 99.0)
2025-08-25 09:44:23 | RSUFusion.Track | DEBUG    | sort_tracker.py:51 | Created track 2 for car at (644.5, 99.0)
2025-08-25 09:44:23 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:297 | Created new track 2 for car
2025-08-25 09:44:23 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.5 FPS
2025-08-25 09:44:23 | RSUFusion.KalmanFilter4D | DEBUG    | kalman_filter.py:88 | Kalman filter initialized at (613.7, 99.9)
2025-08-25 09:44:23 | RSUFusion.Track | DEBUG    | sort_tracker.py:51 | Created track 3 for car at (613.7, 99.9)
2025-08-25 09:44:23 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:297 | Created new track 3 for car
2025-08-25 09:44:23 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (612.6, 99.9)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (612.0, 99.7)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (609.5, 100.2)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (605.9, 100.4)
2025-08-25 09:44:24 | RSUFusion.YOLODetector | DEBUG    | yolo_detector.py:155 | Detection performance: 51.5 FPS, 1 objects detected
2025-08-25 09:44:24 | RSUFusion.DetectionProcess | DEBUG    | run_phase1.py:198 | Detection: 17.1 FPS, 10 detections processed
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (603.5, 100.4)
